ChurnEventID,CustomerID,SubscriptionID,Churned,ChurnDate,ChurnReason
CHURN0000044,CUST03006,SUB003006,True,2025-08-02,Found alternative
CHURN0000045,CUST02735,SUB002735,True,2025-10-11,Found alternative
CHURN0000046,CUST03006,SUB003006,True,2025-03-27,Infrequent use
CHURN0000047,CUST00563,SUB000563,False,,
CHURN0000048,CUST01900,SUB001900,False,,
CHURN0000049,CUST01268,SUB001268,True,2025-02-08,Moved to competitor
CHURN0000050,CUST02880,SUB002880,False,,
CHURN0000051,CUST01529,SUB001529,False,,
CHURN0000052,CUST03203,SUB003203,False,,
CHURN0000053,CUST00647,SUB000647,True,2025-11-10,Lack of features
CHURN0000054,CUST02069,SUB002069,False,,
CHURN0000055,CUST02889,SUB002889,False,,
CHURN0000056,CUST02215,SUB002215,True,2025-01-24,Poor experience
CHURN0000057,CUST01298,SUB001298,False,,
CHURN0000058,CUST02436,SUB002436,True,2024-06-08,Price
CHURN0000059,CUST00601,SUB000601,True,2025-07-20,Price
CHURN0000060,CUST02364,SUB002364,True,2025-01-31,Lack of features
CHURN0000061,CUST02062,SUB002062,True,2025-10-16,Other
CHURN0000062,CUST00242,SUB000242,False,,
CHURN0000063,CUST02042,SUB002042,False,,
CHURN0000064,CUST02825,SUB002825,True,2025-09-29,Lack of features
CHURN0000065,CUST03418,SUB003418,False,,
CHURN0000066,CUST02613,SUB002613,False,,
CHURN0000067,CUST02946,SUB002946,False,,
CHURN0000068,CUST01364,SUB001364,True,2025-11-05,Price
CHURN0000069,CUST02140,SUB002140,True,2025-10-17,Lack of features
CHURN0000070,CUST01391,SUB001391,True,2025-06-02,Billing issue
CHURN0000071,CUST03004,SUB003004,False,,
CHURN0000072,CUST01479,SUB001479,False,,
CHURN0000073,CUST03500,SUB003500,True,2024-08-19,Infrequent use
CHURN0000074,CUST02557,SUB002557,False,,
CHURN0000075,CUST00776,SUB000776,False,,
CHURN0000076,CUST00035,SUB000035,False,,
CHURN0000077,CUST02254,SUB002254,True,2025-02-04,Billing issue
CHURN0000078,CUST03153,SUB003153,False,,
CHURN0000079,CUST01956,SUB001956,True,2025-07-25,Moved to competitor
CHURN0000080,CUST01586,SUB001586,False,,
CHURN0000081,CUST03460,SUB003460,True,2025-09-06,Poor experience
CHURN0000082,CUST03074,SUB003074,True,2025-11-07,Poor experience
CHURN0000083,CUST01022,SUB001022,False,,
CHURN0000084,CUST03462,SUB003462,False,,
CHURN0000085,CUST02614,SUB002614,False,,
CHURN0000086,CUST01130,SUB001130,True,2025-10-23,Poor experience
CHURN0000087,CUST01501,SUB001501,True,2025-02-24,Infrequent use
CHURN0000088,CUST00703,SUB000703,True,2025-11-15,Infrequent use
CHURN0000089,CUST02450,SUB002450,False,,
CHURN0000090,CUST02778,SUB002778,True,2025-07-25,Moved to competitor
CHURN0000091,CUST01580,SUB001580,False,,
CHURN0000092,CUST00162,SUB000162,False,,
CHURN0000093,CUST00202,SUB000202,False,,
CHURN0000094,CUST01982,SUB001982,True,2025-11-16,Moved to competitor
CHURN0000095,CUST00996,SUB000996,False,,
CHURN0000096,CUST02318,SUB002318,False,,
CHURN0000097,CUST00816,SUB000816,True,2025-10-05,Billing issue
CHURN0000098,CUST03343,SUB003343,True,2024-07-01,Found alternative
CHURN0000099,CUST00456,SUB000456,False,,
CHURN0000100,CUST01276,SUB001276,True,2025-08-22,Billing issue
CHURN0000101,CUST01017,SUB001017,True,2025-02-09,Infrequent use
CHURN0000102,CUST02344,SUB002344,True,2025-04-24,Found alternative
CHURN0000103,CUST02768,SUB002768,False,,
CHURN0000104,CUST00338,SUB000338,False,,
CHURN0000105,CUST00879,SUB000879,True,2025-07-17,Infrequent use
CHURN0000106,CUST01077,SUB001077,True,2025-11-17,Moved to competitor
CHURN0000107,CUST00792,SUB000792,False,,
CHURN0000108,CUST02265,SUB002265,False,,
CHURN0000109,CUST00764,SUB000764,False,,
CHURN0000110,CUST02236,SUB002236,False,,
CHURN0000111,CUST00380,SUB000380,True,2025-10-26,Found alternative
CHURN0000112,CUST00493,SUB000493,False,,
CHURN0000113,CUST03113,SUB003113,False,,
CHURN0000114,CUST01181,SUB001181,False,,
CHURN0000115,CUST02063,SUB002063,False,,
CHURN0000116,CUST00065,SUB000065,False,,
CHURN0000117,CUST02569,SUB002569,False,,
CHURN0000118,CUST01368,SUB001368,False,,
CHURN0000119,CUST01153,SUB001153,False,,
CHURN0000120,CUST02028,SUB002028,True,2025-03-20,Billing issue
CHURN0000121,CUST02696,SUB002696,False,,
CHURN0000122,CUST01496,SUB001496,False,,
CHURN0000123,CUST03135,SUB003135,False,,
CHURN0000124,CUST01163,SUB001163,False,,
CHURN0000125,CUST01523,SUB001523,True,2025-09-04,Found alternative
CHURN0000126,CUST02641,SUB002641,True,2025-07-21,Lack of features
CHURN0000127,CUST00392,SUB000392,False,,
CHURN0000128,CUST01699,SUB001699,False,,
CHURN0000129,CUST00419,SUB000419,False,,
CHURN0000130,CUST02337,SUB002337,False,,
CHURN0000131,CUST00379,SUB000379,False,,
CHURN0000132,CUST01797,SUB001797,False,,
CHURN0000133,CUST02279,SUB002279,False,,
CHURN0000134,CUST03066,SUB003066,True,2025-09-24,Lack of features
CHURN0000135,CUST02089,SUB002089,True,2025-11-14,Infrequent use
CHURN0000136,CUST03100,SUB003100,False,,
CHURN0000137,CUST02183,SUB002183,False,,
CHURN0000138,CUST00201,SUB000201,True,2025-07-18,Found alternative
CHURN0000139,CUST01864,SUB001864,False,,
CHURN0000140,CUST00780,SUB000780,False,,
CHURN0000141,CUST02978,SUB002978,False,,
CHURN0000142,CUST03105,SUB003105,True,2025-08-21,Moved to competitor
CHURN0000143,CUST03120,SUB003120,False,,
CHURN0000144,CUST00503,SUB000503,True,2025-11-12,Poor experience
CHURN0000145,CUST02455,SUB002455,False,,
CHURN0000146,CUST01752,SUB001752,True,2025-06-05,Moved to competitor
CHURN0000147,CUST00805,SUB000805,False,,
CHURN0000148,CUST02147,SUB002147,False,,
CHURN0000149,CUST02732,SUB002732,True,2025-11-17,Other
CHURN0000150,CUST01896,SUB001896,True,2025-04-30,Lack of features
CHURN0000151,CUST02774,SUB002774,True,2025-11-13,Moved to competitor
CHURN0000152,CUST01571,SUB001571,True,2025-10-20,Other
CHURN0000153,CUST00961,SUB000961,True,2025-09-01,Other
CHURN0000154,CUST02661,SUB002661,False,,
CHURN0000155,CUST01486,SUB001486,False,,
CHURN0000156,CUST02691,SUB002691,False,,
CHURN0000157,CUST01029,SUB001029,True,2025-09-15,Billing issue
CHURN0000158,CUST03290,SUB003290,True,2025-10-18,Poor experience
CHURN0000159,CUST00503,SUB000503,True,2025-09-12,Infrequent use
CHURN0000160,CUST02815,SUB002815,True,2025-07-21,Found alternative
CHURN0000161,CUST00398,SUB000398,True,2025-09-14,Other
CHURN0000162,CUST00871,SUB000871,True,2024-11-11,Moved to competitor
CHURN0000163,CUST02843,SUB002843,False,,
CHURN0000164,CUST00393,SUB000393,False,,
CHURN0000165,CUST00207,SUB000207,True,2025-09-12,Price
CHURN0000166,CUST01039,SUB001039,True,2025-10-30,Price
CHURN0000167,CUST01882,SUB001882,False,,
CHURN0000168,CUST02940,SUB002940,False,,
CHURN0000169,CUST01485,SUB001485,False,,
CHURN0000170,CUST00864,SUB000864,True,2025-11-15,Price
CHURN0000171,CUST02791,SUB002791,True,2025-10-27,Infrequent use
CHURN0000172,CUST03313,SUB003313,False,,
CHURN0000173,CUST00564,SUB000564,False,,
CHURN0000174,CUST01021,SUB001021,True,2025-02-18,Price
CHURN0000175,CUST00096,SUB000096,True,2025-06-07,Billing issue
CHURN0000176,CUST01924,SUB001924,True,2025-05-06,Found alternative
CHURN0000177,CUST01758,SUB001758,True,2025-11-09,Other
CHURN0000178,CUST02533,SUB002533,False,,
CHURN0000179,CUST03479,SUB003479,True,2025-10-16,Billing issue
CHURN0000180,CUST02279,SUB002279,False,,
CHURN0000181,CUST02797,SUB002797,True,2025-06-04,Found alternative
CHURN0000182,CUST01679,SUB001679,False,,
CHURN0000183,CUST03243,SUB003243,True,2025-07-22,Moved to competitor
CHURN0000184,CUST00541,SUB000541,False,,
CHURN0000185,CUST01060,SUB001060,False,,
CHURN0000186,CUST02573,SUB002573,True,2025-02-06,Price
CHURN0000187,CUST01184,SUB001184,True,2025-06-12,Infrequent use
CHURN0000188,CUST01723,SUB001723,True,2025-11-05,Infrequent use
CHURN0000189,CUST03315,SUB003315,True,2025-11-10,Poor experience
CHURN0000190,CUST03158,SUB003158,False,,
CHURN0000191,CUST01820,SUB001820,True,2025-08-17,Poor experience
CHURN0000192,CUST02626,SUB002626,False,,
CHURN0000193,CUST02730,SUB002730,False,,
CHURN0000194,CUST02605,SUB002605,False,,
CHURN0000195,CUST01598,SUB001598,True,2025-04-04,Poor experience
CHURN0000196,CUST03061,SUB003061,True,2025-11-12,Price
CHURN0000197,CUST02694,SUB002694,False,,
CHURN0000198,CUST00796,SUB000796,False,,
CHURN0000199,CUST01052,SUB001052,True,2025-11-10,Price
CHURN0000200,CUST01644,SUB001644,True,2024-12-14,Infrequent use
CHURN0000201,CUST01364,SUB001364,False,,
CHURN0000202,CUST01982,SUB001982,False,,
CHURN0000203,CUST01355,SUB001355,False,,
CHURN0000204,CUST01664,SUB001664,True,2025-11-16,Moved to competitor
CHURN0000205,CUST01530,SUB001530,True,2024-10-29,Billing issue
CHURN0000206,CUST02039,SUB002039,False,,
CHURN0000207,CUST03420,SUB003420,False,,
CHURN0000208,CUST01497,SUB001497,False,,
CHURN0000209,CUST03303,SUB003303,True,2025-11-14,Price
CHURN0000210,CUST02238,SUB002238,False,,
CHURN0000211,CUST03297,SUB003297,True,2025-02-13,Other
CHURN0000212,CUST01409,SUB001409,True,2025-08-14,Infrequent use
CHURN0000213,CUST01401,SUB001401,False,,
CHURN0000214,CUST01307,SUB001307,True,2025-06-05,Other
CHURN0000215,CUST02681,SUB002681,False,,
CHURN0000216,CUST02676,SUB002676,True,2025-08-01,Found alternative
CHURN0000217,CUST00973,SUB000973,False,,
CHURN0000218,CUST01769,SUB001769,True,2025-01-08,Lack of features
CHURN0000219,CUST01283,SUB001283,False,,
CHURN0000220,CUST03431,SUB003431,False,,
CHURN0000221,CUST00710,SUB000710,True,2025-09-06,Billing issue
CHURN0000222,CUST01480,SUB001480,False,,
CHURN0000223,CUST01435,SUB001435,False,,
CHURN0000224,CUST00649,SUB000649,False,,
CHURN0000225,CUST00318,SUB000318,False,,
CHURN0000226,CUST03297,SUB003297,True,2025-08-08,Price
CHURN0000227,CUST01258,SUB001258,True,2025-06-11,Infrequent use
CHURN0000228,CUST00684,SUB000684,False,,
CHURN0000229,CUST00664,SUB000664,False,,
CHURN0000230,CUST01999,SUB001999,False,,
CHURN0000231,CUST03446,SUB003446,True,2025-11-17,Found alternative
CHURN0000232,CUST01632,SUB001632,True,2024-08-28,Found alternative
CHURN0000233,CUST01496,SUB001496,False,,
CHURN0000234,CUST03305,SUB003305,True,2025-10-23,Price
CHURN0000235,CUST01137,SUB001137,True,2025-10-28,Infrequent use
CHURN0000236,CUST01854,SUB001854,True,2025-08-22,Found alternative
CHURN0000237,CUST01521,SUB001521,False,,
CHURN0000238,CUST02490,SUB002490,False,,
CHURN0000239,CUST00564,SUB000564,False,,
CHURN0000240,CUST01292,SUB001292,True,2025-11-16,Price
CHURN0000241,CUST03458,SUB003458,True,2025-04-09,Moved to competitor
CHURN0000242,CUST03459,SUB003459,True,2025-06-27,Found alternative
CHURN0000243,CUST03185,SUB003185,False,,
CHURN0000244,CUST01637,SUB001637,False,,
CHURN0000245,CUST03000,SUB003000,False,,
CHURN0000246,CUST03153,SUB003153,False,,
CHURN0000247,CUST00699,SUB000699,False,,
CHURN0000248,CUST02161,SUB002161,True,2025-10-22,Infrequent use
CHURN0000249,CUST00002,SUB000002,False,,
CHURN0000250,CUST00642,SUB000642,True,2025-05-13,Poor experience
CHURN0000251,CUST02268,SUB002268,False,,
CHURN0000252,CUST01590,SUB001590,True,2025-11-09,Found alternative
CHURN0000253,CUST00855,SUB000855,True,2025-10-16,Moved to competitor
CHURN0000254,CUST01760,SUB001760,False,,
CHURN0000255,CUST03297,SUB003297,True,2024-12-10,Moved to competitor
CHURN0000256,CUST02433,SUB002433,True,2025-10-29,Lack of features
CHURN0000257,CUST03475,SUB003475,False,,
CHURN0000258,CUST01662,SUB001662,True,2025-10-14,Other
CHURN0000259,CUST01154,SUB001154,True,2025-04-01,Billing issue
CHURN0000260,CUST01077,SUB001077,True,2025-11-17,Moved to competitor
CHURN0000261,CUST01708,SUB001708,True,2025-04-25,Billing issue
CHURN0000262,CUST02778,SUB002778,True,2025-11-05,Poor experience
CHURN0000263,CUST01696,SUB001696,True,2025-05-15,Infrequent use
CHURN0000264,CUST01734,SUB001734,True,2025-11-16,Moved to competitor
CHURN0000265,CUST01440,SUB001440,True,2025-01-03,Other
CHURN0000266,CUST02295,SUB002295,False,,
CHURN0000267,CUST00836,SUB000836,False,,
CHURN0000268,CUST00203,SUB000203,False,,
CHURN0000269,CUST03256,SUB003256,False,,
CHURN0000270,CUST00123,SUB000123,False,,
CHURN0000271,CUST00401,SUB000401,False,,
CHURN0000272,CUST00767,SUB000767,False,,
CHURN0000273,CUST00294,SUB000294,False,,
CHURN0000274,CUST02328,SUB002328,False,,
CHURN0000275,CUST02932,SUB002932,False,,
CHURN0000276,CUST00198,SUB000198,False,,
CHURN0000277,CUST03030,SUB003030,False,,
CHURN0000278,CUST01931,SUB001931,True,2025-11-16,Poor experience
CHURN0000279,CUST02800,SUB002800,True,2025-11-12,Infrequent use
CHURN0000280,CUST02192,SUB002192,True,2024-10-05,Other
CHURN0000281,CUST00609,SUB000609,False,,
CHURN0000282,CUST03273,SUB003273,True,2025-10-25,Lack of features
CHURN0000283,CUST01148,SUB001148,False,,
CHURN0000284,CUST00187,SUB000187,True,2025-09-26,Moved to competitor
CHURN0000285,CUST03398,SUB003398,True,2025-11-04,Poor experience
CHURN0000286,CUST02512,SUB002512,True,2025-11-12,Found alternative
CHURN0000287,CUST03421,SUB003421,True,2024-10-03,Billing issue
CHURN0000288,CUST01795,SUB001795,False,,
CHURN0000289,CUST00660,SUB000660,False,,
CHURN0000290,CUST02812,SUB002812,False,,
CHURN0000291,CUST03003,SUB003003,True,2025-04-22,Moved to competitor
CHURN0000292,CUST01956,SUB001956,True,2024-06-02,Billing issue
CHURN0000293,CUST02451,SUB002451,False,,
CHURN0000294,CUST01370,SUB001370,False,,
CHURN0000295,CUST01987,SUB001987,True,2025-11-03,Moved to competitor
CHURN0000296,CUST01535,SUB001535,True,2025-10-17,Other
CHURN0000297,CUST00147,SUB000147,False,,
CHURN0000298,CUST03220,SUB003220,False,,
CHURN0000299,CUST02912,SUB002912,True,2025-10-20,Poor experience
CHURN0000300,CUST01735,SUB001735,False,,
CHURN0000301,CUST01844,SUB001844,False,,
CHURN0000302,CUST00489,SUB000489,False,,
CHURN0000303,CUST02977,SUB002977,False,,
CHURN0000304,CUST01960,SUB001960,True,2025-11-07,Lack of features
CHURN0000305,CUST01664,SUB001664,True,2025-11-15,Moved to competitor
CHURN0000306,CUST02599,SUB002599,False,,
CHURN0000307,CUST02386,SUB002386,False,,
CHURN0000308,CUST02920,SUB002920,True,2025-06-23,Other
CHURN0000309,CUST00641,SUB000641,False,,
CHURN0000310,CUST01803,SUB001803,True,2025-07-06,Billing issue
CHURN0000311,CUST02521,SUB002521,False,,
CHURN0000312,CUST01970,SUB001970,True,2025-08-14,Infrequent use
CHURN0000313,CUST02199,SUB002199,False,,
CHURN0000314,CUST01439,SUB001439,False,,
CHURN0000315,CUST03370,SUB003370,True,2025-11-16,Price
CHURN0000316,CUST01635,SUB001635,False,,
CHURN0000317,CUST00263,SUB000263,True,2025-07-29,Moved to competitor
CHURN0000318,CUST01788,SUB001788,True,2025-05-14,Poor experience
CHURN0000319,CUST02192,SUB002192,True,2025-09-14,Price
CHURN0000320,CUST02394,SUB002394,False,,
CHURN0000321,CUST00624,SUB000624,True,2025-09-28,Moved to competitor
CHURN0000322,CUST01017,SUB001017,True,2025-08-30,Poor experience
CHURN0000323,CUST00881,SUB000881,True,2025-08-28,Found alternative
CHURN0000324,CUST02050,SUB002050,True,2025-04-15,Poor experience
CHURN0000325,CUST02945,SUB002945,True,2025-10-23,Lack of features
CHURN0000326,CUST01328,SUB001328,True,2023-10-31,Lack of features
CHURN0000327,CUST02302,SUB002302,False,,
CHURN0000328,CUST00453,SUB000453,False,,
CHURN0000329,CUST03109,SUB003109,True,2025-07-21,Poor experience
CHURN0000330,CUST01184,SUB001184,True,2025-10-19,Infrequent use
CHURN0000331,CUST03063,SUB003063,True,2023-11-29,Moved to competitor
CHURN0000332,CUST02057,SUB002057,True,2024-03-17,Other
CHURN0000333,CUST03305,SUB003305,True,2025-04-29,Poor experience
CHURN0000334,CUST03171,SUB003171,True,2025-11-17,Other
CHURN0000335,CUST01683,SUB001683,False,,
CHURN0000336,CUST02864,SUB002864,False,,
CHURN0000337,CUST02256,SUB002256,True,2025-09-19,Poor experience
CHURN0000338,CUST01155,SUB001155,False,,
CHURN0000339,CUST00404,SUB000404,False,,
CHURN0000340,CUST02200,SUB002200,False,,
CHURN0000341,CUST02102,SUB002102,False,,
CHURN0000342,CUST03192,SUB003192,False,,
CHURN0000343,CUST01697,SUB001697,True,2025-08-09,Price
CHURN0000344,CUST00628,SUB000628,False,,
CHURN0000345,CUST00587,SUB000587,False,,
CHURN0000346,CUST01649,SUB001649,True,2025-11-17,Moved to competitor
CHURN0000347,CUST01444,SUB001444,True,2025-11-07,Moved to competitor
CHURN0000348,CUST01446,SUB001446,True,2024-12-11,Found alternative
CHURN0000349,CUST00104,SUB000104,False,,
CHURN0000350,CUST00254,SUB000254,True,2025-07-28,Billing issue
CHURN0000351,CUST03299,SUB003299,False,,
CHURN0000352,CUST03184,SUB003184,False,,
CHURN0000353,CUST02558,SUB002558,True,2025-07-14,Other
CHURN0000354,CUST01497,SUB001497,False,,
CHURN0000355,CUST00099,SUB000099,True,2025-10-21,Price
CHURN0000356,CUST02201,SUB002201,False,,
CHURN0000357,CUST01885,SUB001885,False,,
CHURN0000358,CUST02962,SUB002962,False,,
CHURN0000359,CUST01920,SUB001920,False,,
CHURN0000360,CUST00878,SUB000878,True,2024-04-12,Moved to competitor
CHURN0000361,CUST00338,SUB000338,False,,
CHURN0000362,CUST02870,SUB002870,False,,
CHURN0000363,CUST03235,SUB003235,False,,
CHURN0000364,CUST00957,SUB000957,False,,
CHURN0000365,CUST01705,SUB001705,False,,
CHURN0000366,CUST00161,SUB000161,True,2025-04-21,Other
CHURN0000367,CUST01604,SUB001604,False,,
CHURN0000368,CUST02849,SUB002849,False,,
CHURN0000369,CUST00398,SUB000398,True,2025-06-28,Infrequent use
CHURN0000370,CUST01301,SUB001301,False,,
CHURN0000371,CUST00816,SUB000816,True,2025-07-09,Price
CHURN0000372,CUST01528,SUB001528,False,,
CHURN0000373,CUST01920,SUB001920,False,,
CHURN0000374,CUST01416,SUB001416,False,,
CHURN0000375,CUST01159,SUB001159,True,2025-11-15,Found alternative
CHURN0000376,CUST01219,SUB001219,False,,
CHURN0000377,CUST00401,SUB000401,True,2025-06-27,Infrequent use
CHURN0000378,CUST00640,SUB000640,False,,
CHURN0000379,CUST03105,SUB003105,False,,
CHURN0000380,CUST02736,SUB002736,False,,
CHURN0000381,CUST00460,SUB000460,True,2025-11-05,Other
CHURN0000382,CUST00955,SUB000955,True,2025-08-14,Billing issue
CHURN0000383,CUST00470,SUB000470,True,2025-05-19,Price
CHURN0000384,CUST03447,SUB003447,True,2025-11-17,Lack of features
CHURN0000385,CUST01046,SUB001046,True,2025-06-26,Infrequent use
CHURN0000386,CUST02798,SUB002798,False,,
CHURN0000387,CUST01694,SUB001694,False,,
CHURN0000388,CUST02086,SUB002086,False,,
CHURN0000389,CUST02278,SUB002278,True,2025-03-27,Price
CHURN0000390,CUST03437,SUB003437,False,,
CHURN0000391,CUST00563,SUB000563,False,,
CHURN0000392,CUST02486,SUB002486,False,,
CHURN0000393,CUST01800,SUB001800,False,,
CHURN0000394,CUST03355,SUB003355,False,,
CHURN0000395,CUST02075,SUB002075,True,2025-11-16,Price
CHURN0000396,CUST00226,SUB000226,False,,
CHURN0000397,CUST03349,SUB003349,False,,
CHURN0000398,CUST00798,SUB000798,True,2025-10-10,Found alternative
CHURN0000399,CUST02332,SUB002332,True,2025-04-22,Found alternative
CHURN0000400,CUST02927,SUB002927,True,2025-04-29,Lack of features
CHURN0000401,CUST00960,SUB000960,True,2025-06-18,Price
CHURN0000402,CUST01505,SUB001505,False,,
CHURN0000403,CUST00453,SUB000453,False,,
CHURN0000404,CUST03068,SUB003068,True,2025-11-12,Found alternative
CHURN0000405,CUST00816,SUB000816,True,2025-08-24,Infrequent use
CHURN0000406,CUST00659,SUB000659,False,,
CHURN0000407,CUST00547,SUB000547,False,,
CHURN0000408,CUST01216,SUB001216,False,,
CHURN0000409,CUST03121,SUB003121,False,,
CHURN0000410,CUST00017,SUB000017,True,2025-10-17,Other
CHURN0000411,CUST03244,SUB003244,True,2025-08-06,Infrequent use
CHURN0000412,CUST01244,SUB001244,True,2025-09-28,Poor experience
CHURN0000413,CUST02206,SUB002206,False,,
CHURN0000414,CUST02525,SUB002525,False,,
CHURN0000415,CUST01070,SUB001070,False,,
CHURN0000416,CUST03445,SUB003445,True,2025-11-08,Other
CHURN0000417,CUST02566,SUB002566,True,2025-01-22,Found alternative
CHURN0000418,CUST02147,SUB002147,False,,
CHURN0000419,CUST01769,SUB001769,True,2025-09-27,Other
CHURN0000420,CUST01061,SUB001061,True,2025-11-08,Infrequent use
CHURN0000421,CUST02328,SUB002328,False,,
CHURN0000422,CUST03421,SUB003421,True,2025-10-27,Lack of features
CHURN0000423,CUST02545,SUB002545,False,,
CHURN0000424,CUST00302,SUB000302,True,2025-09-21,Billing issue
CHURN0000425,CUST00181,SUB000181,False,,
CHURN0000426,CUST00607,SUB000607,True,2025-10-14,Found alternative
CHURN0000427,CUST03171,SUB003171,False,,
CHURN0000428,CUST00700,SUB000700,True,2025-09-05,Poor experience
CHURN0000429,CUST00993,SUB000993,False,,
CHURN0000430,CUST01140,SUB001140,True,2024-08-23,Price
CHURN0000431,CUST00191,SUB000191,False,,
CHURN0000432,CUST02301,SUB002301,False,,
CHURN0000433,CUST00981,SUB000981,True,2025-11-10,Lack of features
CHURN0000434,CUST02976,SUB002976,True,2025-10-16,Price
CHURN0000435,CUST02007,SUB002007,True,2025-08-20,Infrequent use
CHURN0000436,CUST01185,SUB001185,False,,
CHURN0000437,CUST03328,SUB003328,False,,
CHURN0000438,CUST03395,SUB003395,True,2025-08-18,Found alternative
CHURN0000439,CUST00128,SUB000128,False,,
CHURN0000440,CUST02066,SUB002066,True,2025-03-09,Other
CHURN0000441,CUST01817,SUB001817,True,2025-09-11,Moved to competitor
CHURN0000442,CUST01759,SUB001759,False,,
CHURN0000443,CUST02614,SUB002614,False,,
CHURN0000444,CUST00570,SUB000570,False,,
CHURN0000445,CUST01347,SUB001347,False,,
CHURN0000446,CUST01896,SUB001896,False,,
CHURN0000447,CUST02734,SUB002734,False,,
CHURN0000448,CUST00626,SUB000626,False,,
CHURN0000449,CUST03360,SUB003360,True,2025-11-11,Poor experience
CHURN0000450,CUST02902,SUB002902,False,,
CHURN0000451,CUST01687,SUB001687,True,2025-07-23,Other
CHURN0000452,CUST03010,SUB003010,True,2024-05-13,Moved to competitor
CHURN0000453,CUST00155,SUB000155,False,,
CHURN0000454,CUST02538,SUB002538,True,2025-09-11,Other
CHURN0000455,CUST01410,SUB001410,False,,
CHURN0000456,CUST00785,SUB000785,False,,
CHURN0000457,CUST03176,SUB003176,False,,
CHURN0000458,CUST03465,SUB003465,False,,
CHURN0000459,CUST00246,SUB000246,True,2025-08-31,Moved to competitor
CHURN0000460,CUST03248,SUB003248,False,,
CHURN0000461,CUST03111,SUB003111,False,,
CHURN0000462,CUST01501,SUB001501,True,2024-09-18,Billing issue
CHURN0000463,CUST01706,SUB001706,False,,
CHURN0000464,CUST02807,SUB002807,False,,
CHURN0000465,CUST00538,SUB000538,True,2025-11-02,Billing issue
CHURN0000466,CUST01891,SUB001891,True,2025-08-27,Lack of features
CHURN0000467,CUST01842,SUB001842,False,,
CHURN0000468,CUST00921,SUB000921,False,,
CHURN0000469,CUST02456,SUB002456,False,,
CHURN0000470,CUST00525,SUB000525,False,,
CHURN0000471,CUST02876,SUB002876,False,,
CHURN0000472,CUST01530,SUB001530,True,2025-08-20,Other
CHURN0000473,CUST02951,SUB002951,True,2025-08-06,Moved to competitor
CHURN0000474,CUST00036,SUB000036,False,,
CHURN0000475,CUST00685,SUB000685,False,,
CHURN0000476,CUST00020,SUB000020,True,2025-10-09,Poor experience
CHURN0000477,CUST02369,SUB002369,True,2024-12-03,Found alternative
CHURN0000478,CUST02560,SUB002560,True,2025-09-19,Poor experience
CHURN0000479,CUST00400,SUB000400,True,2025-10-30,Lack of features
CHURN0000480,CUST02702,SUB002702,False,,
CHURN0000481,CUST00972,SUB000972,False,,
CHURN0000482,CUST01907,SUB001907,True,2025-10-14,Other
