UsageID,CustomerID,SubscriptionID,UsageDate,MinutesWatched,Sessions,Device,ItemsConsumed
USE00000186,CUST00354,SUB000354,2025-11-11,67,1,Mobile,4
USE00000187,CUST01439,SUB001439,2025-09-21,21,1,Mobile,4
USE00000188,CUST02072,SUB002072,2025-03-25,77,2,Mobile,0
USE00000189,CUST00217,SUB000217,2024-09-16,16,1,Mobile,12
USE00000190,CUST00588,SUB000588,2024-07-27,49,1,Tablet,0
USE00000191,CUST00805,SUB000805,2025-09-16,48,1,Mobile,1
USE00000192,CUST03243,SUB003243,2025-05-12,71,1,Console,4
USE00000193,CUST03372,SUB003372,2025-05-22,36,2,Mobile,1
USE00000194,CUST03116,SUB003116,2025-10-04,44,2,Mobile,1
USE00000195,CUST02481,SUB002481,2025-11-04,26,1,Desktop,9
USE00000196,CUST00088,SUB000088,2025-11-07,51,1,Desktop,13
USE00000197,CUST03383,SUB003383,2024-11-16,19,3,Mobile,8
USE00000198,CUST03047,SUB003047,2025-09-07,38,1,Tablet,14
USE00000199,CUST01111,SUB001111,2025-10-03,124,2,Mobile,0
USE00000200,CUST00768,SUB000768,2024-04-15,8,1,Mobile,6
USE00000201,CUST03219,SUB003219,2025-07-01,0,1,Desktop,0
USE00000202,CUST01944,SUB001944,2025-06-24,24,1,Smart TV,5
USE00000203,CUST02936,SUB002936,2025-09-22,59,1,Mobile,1
USE00000204,CUST03083,SUB003083,2024-10-09,0,1,Tablet,7
USE00000205,CUST02493,SUB002493,2025-09-14,0,1,Mobile,9
USE00000206,CUST01795,SUB001795,2024-03-31,119,1,Smart TV,2
USE00000207,CUST02284,SUB002284,2024-07-27,45,4,Mobile,3
USE00000208,CUST00464,SUB000464,2025-07-06,43,2,Desktop,10
USE00000209,CUST00391,SUB000391,2025-06-02,56,2,Mobile,17
USE00000210,CUST03427,SUB003427,2025-11-01,56,1,Mobile,3
USE00000211,CUST02314,SUB002314,2025-04-27,18,2,Mobile,5
USE00000212,CUST02765,SUB002765,2025-08-16,41,1,Mobile,5
USE00000213,CUST01582,SUB001582,2024-07-01,76,1,Desktop,3
USE00000214,CUST00907,SUB000907,2025-07-23,0,1,Mobile,3
USE00000215,CUST03065,SUB003065,2025-06-28,72,1,Desktop,9
USE00000216,CUST02562,SUB002562,2025-05-24,26,3,Tablet,11
USE00000217,CUST02533,SUB002533,2025-11-07,61,3,Console,7
USE00000218,CUST03086,SUB003086,2025-08-28,55,1,Smart TV,6
USE00000219,CUST02926,SUB002926,2024-10-29,0,2,Mobile,2
USE00000220,CUST02264,SUB002264,2025-07-21,91,2,Mobile,9
USE00000221,CUST02659,SUB002659,2025-11-06,0,1,Mobile,6
USE00000222,CUST01946,SUB001946,2025-10-20,48,1,Mobile,6
USE00000223,CUST03218,SUB003218,2025-04-20,26,1,Console,2
USE00000224,CUST01853,SUB001853,2025-10-05,87,3,Mobile,1
USE00000225,CUST03046,SUB003046,2025-08-31,47,3,Mobile,2
USE00000226,CUST02182,SUB002182,2025-05-29,25,1,Mobile,8
USE00000227,CUST01426,SUB001426,2025-09-30,7,2,Mobile,4
USE00000228,CUST00836,SUB000836,2025-10-12,9,1,Smart TV,11
USE00000229,CUST01267,SUB001267,2025-11-17,0,3,Mobile,18
USE00000230,CUST00289,SUB000289,2025-02-07,54,1,Desktop,12
USE00000231,CUST02722,SUB002722,2025-07-04,14,2,Mobile,15
USE00000232,CUST03457,SUB003457,2025-09-20,72,1,Mobile,1
USE00000233,CUST01073,SUB001073,2025-02-25,0,1,Console,13
USE00000234,CUST02566,SUB002566,2025-09-23,21,1,Mobile,14
USE00000235,CUST03165,SUB003165,2024-03-04,107,1,Mobile,15
USE00000236,CUST02480,SUB002480,2025-11-16,62,1,Desktop,6
USE00000237,CUST02619,SUB002619,2025-10-22,26,1,Desktop,2
USE00000238,CUST00482,SUB000482,2025-10-27,20,1,Desktop,0
USE00000239,CUST01663,SUB001663,2025-02-05,9,1,Mobile,6
USE00000240,CUST00933,SUB000933,2024-12-27,35,1,Desktop,9
USE00000241,CUST03306,SUB003306,2025-07-25,0,1,Mobile,1
USE00000242,CUST02117,SUB002117,2025-10-30,82,1,Mobile,5
USE00000243,CUST03332,SUB003332,2025-11-04,0,1,Mobile,1
USE00000244,CUST00556,SUB000556,2025-04-19,21,5,Smart TV,2
USE00000245,CUST01229,SUB001229,2024-11-10,48,1,Mobile,23
USE00000246,CUST03124,SUB003124,2025-02-13,0,1,Mobile,11
USE00000247,CUST00825,SUB000825,2025-11-17,78,3,Mobile,15
USE00000248,CUST00183,SUB000183,2025-11-13,75,2,Mobile,0
USE00000249,CUST01908,SUB001908,2025-06-15,133,5,Mobile,0
USE00000250,CUST03073,SUB003073,2025-05-20,74,1,Mobile,1
USE00000251,CUST02662,SUB002662,2025-10-16,17,1,Mobile,12
USE00000252,CUST00086,SUB000086,2025-07-05,18,1,Desktop,2
USE00000253,CUST00646,SUB000646,2025-11-17,109,1,Mobile,1
USE00000254,CUST00573,SUB000573,2025-09-17,48,1,Desktop,1
USE00000255,CUST00383,SUB000383,2025-05-24,67,2,Mobile,0
USE00000256,CUST02872,SUB002872,2024-11-26,61,2,Desktop,5
USE00000257,CUST02009,SUB002009,2025-08-26,79,1,Smart TV,1
USE00000258,CUST02032,SUB002032,2025-06-14,84,2,Console,1
USE00000259,CUST00325,SUB000325,2025-08-18,65,1,Mobile,0
USE00000260,CUST02558,SUB002558,2025-08-14,41,1,Tablet,10
USE00000261,CUST00593,SUB000593,2025-09-17,0,1,Mobile,0
USE00000262,CUST02579,SUB002579,2025-07-28,14,2,Mobile,12
USE00000263,CUST02032,SUB002032,2025-07-22,43,3,Desktop,10
USE00000264,CUST00315,SUB000315,2025-04-29,0,1,Smart TV,18
USE00000265,CUST01405,SUB001405,2025-07-27,30,2,Tablet,1
USE00000266,CUST01445,SUB001445,2025-10-18,22,4,Desktop,7
USE00000267,CUST00714,SUB000714,2025-11-06,0,1,Mobile,2
USE00000268,CUST01578,SUB001578,2025-10-30,58,1,Mobile,3
USE00000269,CUST03493,SUB003493,2024-10-13,64,2,Smart TV,1
USE00000270,CUST01805,SUB001805,2025-10-02,58,1,Mobile,10
USE00000271,CUST00269,SUB000269,2024-11-12,8,2,Desktop,7
USE00000272,CUST00674,SUB000674,2025-06-03,12,1,Smart TV,0
USE00000273,CUST01122,SUB001122,2025-07-30,48,2,Tablet,1
USE00000274,CUST01194,SUB001194,2025-10-02,108,1,Smart TV,4
USE00000275,CUST00086,SUB000086,2025-10-19,8,2,Mobile,1
USE00000276,CUST02747,SUB002747,2025-10-09,0,1,Mobile,6
USE00000277,CUST01115,SUB001115,2025-10-26,56,1,Smart TV,0
USE00000278,CUST02905,SUB002905,2025-05-24,0,3,Mobile,14
USE00000279,CUST01839,SUB001839,2024-04-06,56,3,Tablet,0
USE00000280,CUST01112,SUB001112,2025-09-12,0,2,Tablet,2
USE00000281,CUST03296,SUB003296,2025-03-10,78,1,Desktop,12
USE00000282,CUST03379,SUB003379,2025-08-06,36,2,Mobile,0
USE00000283,CUST00189,SUB000189,2025-05-01,0,1,Mobile,1
USE00000284,CUST00474,SUB000474,2025-07-15,82,1,Desktop,4
USE00000285,CUST03485,SUB003485,2025-08-18,0,1,Mobile,14
USE00000286,CUST01076,SUB001076,2025-10-23,83,1,Tablet,9
USE00000287,CUST02664,SUB002664,2024-08-03,37,1,Console,1
USE00000288,CUST01315,SUB001315,2025-06-19,12,3,Mobile,6
USE00000289,CUST02943,SUB002943,2024-11-01,53,4,Tablet,14
USE00000290,CUST02654,SUB002654,2025-03-09,32,1,Mobile,10
USE00000291,CUST02763,SUB002763,2025-08-13,22,3,Mobile,6
USE00000292,CUST00781,SUB000781,2025-04-23,76,2,Mobile,8
USE00000293,CUST01517,SUB001517,2025-10-17,3,1,Desktop,6
USE00000294,CUST00476,SUB000476,2024-09-20,0,2,Desktop,2
USE00000295,CUST00972,SUB000972,2025-08-21,1,1,Smart TV,9
USE00000296,CUST00372,SUB000372,2025-02-02,0,1,Mobile,10
USE00000297,CUST02428,SUB002428,2024-09-18,32,2,Tablet,1
USE00000298,CUST00090,SUB000090,2025-06-14,38,1,Smart TV,0
USE00000299,CUST00032,SUB000032,2024-07-05,43,3,Mobile,3
USE00000300,CUST01920,SUB001920,2025-11-13,16,1,Mobile,3
USE00000301,CUST01346,SUB001346,2025-10-14,85,1,Smart TV,2
USE00000302,CUST00820,SUB000820,2024-11-07,77,1,Smart TV,2
USE00000303,CUST01032,SUB001032,2025-11-10,13,2,Mobile,0
USE00000304,CUST02822,SUB002822,2025-07-10,100,1,Mobile,11
USE00000305,CUST00604,SUB000604,2024-10-21,10,3,Mobile,18
USE00000306,CUST00429,SUB000429,2025-11-07,32,1,Smart TV,5
USE00000307,CUST00284,SUB000284,2025-09-29,42,2,Desktop,1
USE00000308,CUST00955,SUB000955,2025-02-22,0,2,Tablet,2
USE00000309,CUST00890,SUB000890,2025-10-15,36,1,Desktop,2
USE00000310,CUST00689,SUB000689,2025-08-16,31,1,Tablet,11
USE00000311,CUST02898,SUB002898,2025-03-25,0,1,Tablet,0
USE00000312,CUST00959,SUB000959,2025-04-18,36,1,Mobile,5
USE00000313,CUST03221,SUB003221,2025-11-01,64,1,Tablet,13
USE00000314,CUST03343,SUB003343,2025-08-28,0,4,Smart TV,1
USE00000315,CUST00271,SUB000271,2025-11-07,37,2,Desktop,1
USE00000316,CUST03062,SUB003062,2025-09-16,0,2,Mobile,9
USE00000317,CUST01260,SUB001260,2024-04-19,35,2,Tablet,3
USE00000318,CUST00268,SUB000268,2025-11-10,48,2,Smart TV,4
USE00000319,CUST03120,SUB003120,2025-01-08,76,1,Mobile,4
USE00000320,CUST02865,SUB002865,2025-10-30,57,3,Mobile,14
USE00000321,CUST01061,SUB001061,2025-11-08,83,1,Mobile,2
USE00000322,CUST03258,SUB003258,2025-08-12,70,1,Mobile,1
USE00000323,CUST00440,SUB000440,2025-11-08,0,1,Mobile,2
USE00000324,CUST03279,SUB003279,2025-10-24,65,2,Mobile,4
USE00000325,CUST01217,SUB001217,2024-10-15,16,3,Smart TV,11
USE00000326,CUST00804,SUB000804,2025-11-09,16,3,Desktop,8
USE00000327,CUST01873,SUB001873,2025-08-10,100,1,Desktop,23
USE00000328,CUST00207,SUB000207,2025-11-04,106,1,Tablet,3
USE00000329,CUST01416,SUB001416,2025-10-08,53,1,Tablet,7
USE00000330,CUST00709,SUB000709,2025-03-03,0,1,Desktop,4
USE00000331,CUST00261,SUB000261,2025-01-13,46,4,Mobile,2
USE00000332,CUST00862,SUB000862,2024-11-30,0,1,Mobile,1
USE00000333,CUST02292,SUB002292,2025-07-09,49,2,Mobile,5
USE00000334,CUST00355,SUB000355,2025-10-25,98,2,Desktop,3
USE00000335,CUST00169,SUB000169,2025-11-07,31,1,Smart TV,10
USE00000336,CUST02069,SUB002069,2024-05-08,17,1,Smart TV,3
USE00000337,CUST00669,SUB000669,2025-07-15,22,1,Tablet,1
USE00000338,CUST03492,SUB003492,2025-06-13,83,4,Mobile,0
USE00000339,CUST01005,SUB001005,2025-07-01,70,1,Tablet,0
USE00000340,CUST01800,SUB001800,2025-10-21,71,1,Console,1
USE00000341,CUST01460,SUB001460,2025-05-21,37,2,Smart TV,6
USE00000342,CUST00701,SUB000701,2025-03-10,38,3,Mobile,4
USE00000343,CUST02415,SUB002415,2025-10-04,70,3,Desktop,0
USE00000344,CUST02163,SUB002163,2025-09-07,0,2,Mobile,0
USE00000345,CUST00746,SUB000746,2025-04-04,4,2,Desktop,1
USE00000346,CUST02094,SUB002094,2025-11-13,0,1,Mobile,3
USE00000347,CUST01338,SUB001338,2025-09-12,72,1,Mobile,22
USE00000348,CUST02493,SUB002493,2025-09-11,104,1,Mobile,0
USE00000349,CUST00728,SUB000728,2025-06-29,0,1,Mobile,7
USE00000350,CUST00544,SUB000544,2025-07-26,74,1,Tablet,1
USE00000351,CUST02783,SUB002783,2025-09-25,2,1,Desktop,6
USE00000352,CUST03352,SUB003352,2025-11-06,74,1,Mobile,0
USE00000353,CUST03443,SUB003443,2025-10-19,7,2,Mobile,13
USE00000354,CUST01920,SUB001920,2025-11-17,0,2,Mobile,3
USE00000355,CUST01446,SUB001446,2024-01-28,64,3,Desktop,10
USE00000356,CUST02245,SUB002245,2025-11-03,69,1,Desktop,2
USE00000357,CUST02812,SUB002812,2024-11-29,40,2,Desktop,5
USE00000358,CUST02658,SUB002658,2025-06-24,2,1,Mobile,10
USE00000359,CUST02709,SUB002709,2025-08-01,29,1,Console,2
USE00000360,CUST00368,SUB000368,2025-08-15,89,1,Tablet,1
USE00000361,CUST03084,SUB003084,2024-05-18,45,1,Tablet,16
USE00000362,CUST03167,SUB003167,2024-12-18,14,1,Mobile,9
USE00000363,CUST03478,SUB003478,2025-11-16,49,1,Smart TV,4
USE00000364,CUST00871,SUB000871,2024-05-14,0,1,Mobile,5
USE00000365,CUST02809,SUB002809,2025-10-08,76,1,Mobile,5
USE00000366,CUST02135,SUB002135,2025-07-18,33,2,Mobile,10
USE00000367,CUST00039,SUB000039,2025-09-01,104,1,Tablet,11
USE00000368,CUST01220,SUB001220,2025-09-22,70,1,Tablet,5
USE00000369,CUST02489,SUB002489,2025-08-01,53,3,Mobile,2
USE00000370,CUST00469,SUB000469,2025-11-09,3,1,Mobile,3
USE00000371,CUST00551,SUB000551,2025-10-02,38,2,Smart TV,3
USE00000372,CUST02118,SUB002118,2025-11-15,0,1,Mobile,1
USE00000373,CUST03250,SUB003250,2025-11-06,13,1,Desktop,7
USE00000374,CUST00726,SUB000726,2025-02-17,0,2,Smart TV,0
USE00000375,CUST01996,SUB001996,2025-02-26,38,3,Desktop,15
USE00000376,CUST02075,SUB002075,2025-10-31,8,2,Mobile,1
USE00000377,CUST02732,SUB002732,2025-10-23,6,3,Tablet,7
USE00000378,CUST00280,SUB000280,2025-07-31,8,1,Smart TV,2
USE00000379,CUST02944,SUB002944,2025-11-14,18,1,Tablet,2
USE00000380,CUST00691,SUB000691,2025-11-16,52,1,Smart TV,17
USE00000381,CUST00023,SUB000023,2025-02-20,55,1,Mobile,0
USE00000382,CUST01124,SUB001124,2025-10-21,130,2,Mobile,2
USE00000383,CUST01844,SUB001844,2025-05-21,55,1,Smart TV,6
USE00000384,CUST00577,SUB000577,2025-10-31,34,1,Mobile,1
USE00000385,CUST01717,SUB001717,2025-03-07,0,2,Mobile,3
