BillingID,SubscriptionID,CustomerID,BillingDate,Amount,Discount,Tax,FinalAmount,PaymentMethod
BILL0000088,SUB000009,CUST00009,2025-10-04,12.99,0.0,0.9,13.89,Credit Card
BILL0000089,SUB000009,CUST00009,2025-11-04,12.99,0.0,1.27,14.26,Net Banking
BILL0000090,SUB000010,CUST00010,2024-11-28,7.99,0.0,0.41,8.4,PayPal
BILL0000091,SUB000010,CUST00010,2024-12-28,7.99,0.0,0.75,8.74,Stripe
BILL0000092,SUB000010,CUST00010,2025-01-28,7.99,0.0,0.71,8.7,Stripe
BILL0000093,SUB000010,CUST00010,2025-02-28,7.99,1.2,0.47,7.26,Debit Card
BILL0000094,SUB000010,CUST00010,2025-03-28,7.99,0.0,0.7,8.69,Credit Card
BILL0000095,SUB000011,CUST00011,2024-10-07,29.99,0.0,2.95,32.94,Google Pay
BILL0000096,SUB000011,CUST00011,2024-11-07,29.99,0.0,1.76,31.75,Credit Card
BILL0000097,SUB000011,CUST00011,2024-12-07,29.99,0.0,3.34,33.33,Credit Card
BILL0000098,SUB000011,CUST00011,2025-01-07,29.99,0.0,3.41,33.4,Credit Card
BILL0000099,SUB000011,CUST00011,2025-02-07,29.99,0.0,2.23,32.22,UPI
BILL0000100,SUB000011,CUST00011,2025-03-07,29.99,0.0,1.96,31.95,Stripe
BILL0000101,SUB000011,CUST00011,2025-04-07,29.99,0.0,3.23,33.22,Apple Pay
BILL0000102,SUB000011,CUST00011,2025-05-07,29.99,0.0,2.73,32.72,PayPal
BILL0000103,SUB000011,CUST00011,2025-06-07,29.99,0.0,3.0,32.99,Stripe
BILL0000104,SUB000011,CUST00011,2025-07-07,29.99,0.0,3.24,33.23,Stripe
BILL0000105,SUB000011,CUST00011,2025-08-07,29.99,0.0,2.62,32.61,Apple Pay
BILL0000106,SUB000012,CUST00012,2025-06-06,12.99,0.0,1.27,14.26,PayPal
BILL0000107,SUB000012,CUST00012,2025-07-06,12.99,0.0,0.9,13.89,PayPal
BILL0000108,SUB000012,CUST00012,2025-08-06,12.99,0.0,1.44,14.43,Debit Card
BILL0000109,SUB000012,CUST00012,2025-09-06,12.99,0.0,0.82,13.81,Stripe
BILL0000110,SUB000012,CUST00012,2025-10-06,12.99,0.0,1.07,14.06,Google Pay
BILL0000111,SUB000012,CUST00012,2025-11-06,12.99,0.0,1.36,14.35,Debit Card
BILL0000112,SUB000013,CUST00013,2025-10-20,0.0,0.0,0.0,0.0,Stripe
BILL0000113,SUB000014,CUST00014,2025-10-13,7.99,0.0,0.54,8.53,Debit Card
BILL0000114,SUB000014,CUST00014,2025-11-13,7.99,0.0,0.81,8.8,Stripe
BILL0000115,SUB000015,CUST00015,2025-07-02,29.99,0.0,2.05,32.04,Apple Pay
BILL0000116,SUB000015,CUST00015,2025-08-02,29.99,0.0,2.92,32.91,Stripe
BILL0000117,SUB000015,CUST00015,2025-09-02,29.99,6.0,3.1,27.09,UPI
BILL0000118,SUB000015,CUST00015,2025-10-02,29.99,0.0,1.74,31.73,Stripe
BILL0000119,SUB000015,CUST00015,2025-11-02,29.99,0.0,2.57,32.56,PayPal
BILL0000120,SUB000016,CUST00016,2025-04-11,12.99,0.0,0.91,13.9,UPI
BILL0000121,SUB000016,CUST00016,2025-05-11,12.99,1.95,0.67,11.71,Google Pay
BILL0000122,SUB000016,CUST00016,2025-06-11,12.99,0.0,0.98,13.97,Stripe
BILL0000123,SUB000016,CUST00016,2025-07-11,12.99,0.0,1.38,14.37,Net Banking
BILL0000124,SUB000016,CUST00016,2025-08-11,12.99,0.0,0.95,13.94,Debit Card
BILL0000125,SUB000016,CUST00016,2025-09-11,12.99,0.0,1.11,14.1,PayPal
BILL0000126,SUB000016,CUST00016,2025-10-11,12.99,0.0,1.06,14.05,Stripe
BILL0000127,SUB000016,CUST00016,2025-11-11,12.99,0.0,1.35,14.34,Apple Pay
BILL0000128,SUB000017,CUST00017,2025-10-03,12.99,0.0,1.5,14.49,UPI
BILL0000129,SUB000017,CUST00017,2025-11-03,12.99,0.0,1.44,14.43,Stripe
BILL0000130,SUB000018,CUST00018,2025-01-14,19.99,0.0,1.99,21.98,PayPal
BILL0000131,SUB000018,CUST00018,2025-02-14,19.99,0.0,1.63,21.62,UPI
BILL0000132,SUB000018,CUST00018,2025-03-14,19.99,0.0,2.14,22.13,Net Banking
BILL0000133,SUB000018,CUST00018,2025-04-14,19.99,0.0,1.66,21.65,Credit Card
BILL0000134,SUB000018,CUST00018,2025-05-14,19.99,2.0,1.99,19.98,Stripe
BILL0000135,SUB000018,CUST00018,2025-06-14,19.99,0.0,1.84,21.83,UPI
BILL0000136,SUB000018,CUST00018,2025-07-14,19.99,0.0,1.43,21.42,Google Pay
BILL0000137,SUB000018,CUST00018,2025-08-14,19.99,0.0,1.37,21.36,Debit Card
BILL0000138,SUB000018,CUST00018,2025-09-14,19.99,0.0,1.19,21.18,Stripe
BILL0000139,SUB000018,CUST00018,2025-10-14,19.99,0.0,1.92,21.91,Apple Pay
BILL0000140,SUB000018,CUST00018,2025-11-14,19.99,0.0,1.46,21.45,Net Banking
BILL0000141,SUB000019,CUST00019,2025-06-19,12.99,0.0,0.68,13.67,PayPal
BILL0000142,SUB000019,CUST00019,2025-07-19,12.99,0.0,1.04,14.03,UPI
BILL0000143,SUB000019,CUST00019,2025-08-19,12.99,0.0,1.37,14.36,Google Pay
BILL0000144,SUB000019,CUST00019,2025-09-19,12.99,0.0,1.36,14.35,PayPal
BILL0000145,SUB000019,CUST00019,2025-10-19,12.99,0.0,1.27,14.26,Google Pay
BILL0000146,SUB000020,CUST00020,2025-09-25,12.99,0.0,1.38,14.37,UPI
BILL0000147,SUB000020,CUST00020,2025-10-25,12.99,0.0,1.51,14.5,Net Banking
BILL0000148,SUB000021,CUST00021,2025-06-02,0.0,0.0,0.0,0.0,Apple Pay
BILL0000149,SUB000021,CUST00021,2025-07-02,0.0,0.0,0.0,0.0,Credit Card
BILL0000150,SUB000021,CUST00021,2025-08-02,0.0,0.0,0.0,0.0,UPI
BILL0000151,SUB000021,CUST00021,2025-09-02,0.0,0.0,0.0,0.0,Stripe
BILL0000152,SUB000021,CUST00021,2025-10-02,0.0,0.0,0.0,0.0,UPI
BILL0000153,SUB000021,CUST00021,2025-11-02,0.0,0.0,0.0,0.0,Stripe
BILL0000154,SUB000022,CUST00022,2023-10-29,7.99,0.0,0.6,8.59,Google Pay
BILL0000155,SUB000022,CUST00022,2023-11-29,7.99,0.0,0.94,8.93,Google Pay
BILL0000156,SUB000022,CUST00022,2023-12-29,7.99,0.0,0.93,8.92,Net Banking
BILL0000157,SUB000022,CUST00022,2024-01-29,7.99,0.0,0.84,8.83,Apple Pay
BILL0000158,SUB000022,CUST00022,2024-02-29,7.99,0.0,0.88,8.87,Google Pay
BILL0000159,SUB000022,CUST00022,2024-03-29,7.99,0.0,0.43,8.42,Stripe
BILL0000160,SUB000022,CUST00022,2024-04-29,7.99,0.0,0.57,8.56,Debit Card
BILL0000161,SUB000022,CUST00022,2024-05-29,7.99,1.2,0.82,7.61,Credit Card
BILL0000162,SUB000022,CUST00022,2024-06-29,7.99,0.0,0.44,8.43,Debit Card
BILL0000163,SUB000022,CUST00022,2024-07-29,7.99,0.0,0.58,8.57,Apple Pay
BILL0000164,SUB000022,CUST00022,2024-08-29,7.99,0.0,0.83,8.82,Debit Card
BILL0000165,SUB000022,CUST00022,2024-09-29,7.99,0.0,0.72,8.71,Net Banking
BILL0000166,SUB000022,CUST00022,2024-10-29,7.99,0.0,0.71,8.7,Credit Card
BILL0000167,SUB000022,CUST00022,2024-11-29,7.99,0.0,0.74,8.73,Net Banking
BILL0000168,SUB000022,CUST00022,2024-12-29,7.99,0.0,0.77,8.76,Google Pay
BILL0000169,SUB000022,CUST00022,2025-01-29,7.99,1.6,0.93,7.32,Stripe
BILL0000170,SUB000022,CUST00022,2025-02-28,7.99,0.0,0.41,8.4,Debit Card
BILL0000171,SUB000022,CUST00022,2025-03-29,7.99,1.2,0.84,7.63,Net Banking
BILL0000172,SUB000022,CUST00022,2025-04-29,7.99,0.0,0.45,8.44,Stripe
BILL0000173,SUB000022,CUST00022,2025-05-29,7.99,0.0,0.5,8.49,PayPal
BILL0000174,SUB000022,CUST00022,2025-06-29,7.99,0.0,0.43,8.42,Net Banking
BILL0000175,SUB000022,CUST00022,2025-07-29,7.99,0.0,0.81,8.8,Net Banking
BILL0000176,SUB000022,CUST00022,2025-08-29,7.99,0.0,0.64,8.63,Apple Pay
BILL0000177,SUB000022,CUST00022,2025-09-29,7.99,0.0,0.5,8.49,Credit Card
BILL0000178,SUB000022,CUST00022,2025-10-29,7.99,0.0,0.9,8.89,Apple Pay
BILL0000179,SUB000023,CUST00023,2025-02-11,19.99,0.0,2.32,22.31,Debit Card
BILL0000180,SUB000023,CUST00023,2025-03-11,19.99,0.0,1.86,21.85,UPI
BILL0000181,SUB000024,CUST00024,2024-05-13,12.99,0.0,1.5,14.49,Debit Card
BILL0000182,SUB000024,CUST00024,2024-06-13,12.99,0.0,1.02,14.01,Apple Pay
BILL0000183,SUB000024,CUST00024,2024-07-13,12.99,0.0,0.88,13.87,UPI
BILL0000184,SUB000024,CUST00024,2024-08-13,12.99,0.0,1.38,14.37,Credit Card
BILL0000185,SUB000024,CUST00024,2024-09-13,12.99,0.0,0.92,13.91,Debit Card
BILL0000186,SUB000024,CUST00024,2024-10-13,12.99,0.0,0.82,13.81,Google Pay
BILL0000187,SUB000024,CUST00024,2024-11-13,12.99,0.0,1.09,14.08,PayPal
BILL0000188,SUB000024,CUST00024,2024-12-13,12.99,0.0,1.03,14.02,UPI
BILL0000189,SUB000024,CUST00024,2025-01-13,12.99,0.0,0.88,13.87,Net Banking
BILL0000190,SUB000024,CUST00024,2025-02-13,12.99,0.0,1.35,14.34,Apple Pay
BILL0000191,SUB000024,CUST00024,2025-03-13,12.99,0.0,1.04,14.03,Net Banking
BILL0000192,SUB000024,CUST00024,2025-04-13,12.99,0.0,1.36,14.35,Stripe
BILL0000193,SUB000024,CUST00024,2025-05-13,12.99,0.0,1.27,14.26,Apple Pay
BILL0000194,SUB000024,CUST00024,2025-06-13,12.99,0.0,1.43,14.42,UPI
BILL0000195,SUB000024,CUST00024,2025-07-13,12.99,0.0,0.8,13.79,Google Pay
BILL0000196,SUB000024,CUST00024,2025-08-13,12.99,0.0,1.25,14.24,UPI
BILL0000197,SUB000024,CUST00024,2025-09-13,12.99,0.0,0.88,13.87,Net Banking
BILL0000198,SUB000024,CUST00024,2025-10-13,12.99,0.0,1.17,14.16,Stripe
BILL0000199,SUB000024,CUST00024,2025-11-13,12.99,0.0,1.39,14.38,Stripe
BILL0000200,SUB000025,CUST00025,2024-11-16,0.0,0.0,0.0,0.0,Google Pay
BILL0000201,SUB000026,CUST00026,2025-05-17,12.99,0.0,0.78,13.77,UPI
BILL0000202,SUB000026,CUST00026,2025-06-17,12.99,1.3,1.22,12.91,Credit Card
BILL0000203,SUB000026,CUST00026,2025-07-17,12.99,0.0,1.5,14.49,Google Pay
BILL0000204,SUB000026,CUST00026,2025-08-17,12.99,0.0,1.52,14.51,Google Pay
BILL0000205,SUB000026,CUST00026,2025-09-17,12.99,0.0,1.26,14.25,Debit Card
BILL0000206,SUB000026,CUST00026,2025-10-17,12.99,0.0,0.76,13.75,PayPal
BILL0000207,SUB000026,CUST00026,2025-11-17,12.99,0.0,1.17,14.16,PayPal
BILL0000208,SUB000027,CUST00027,2025-11-15,12.99,0.0,1.35,14.34,PayPal
BILL0000209,SUB000028,CUST00028,2025-01-04,0.0,0.0,0.0,0.0,Apple Pay
BILL0000210,SUB000028,CUST00028,2025-02-04,0.0,0.0,0.0,0.0,Credit Card
BILL0000211,SUB000028,CUST00028,2025-03-04,0.0,0.0,0.0,0.0,Net Banking
BILL0000212,SUB000028,CUST00028,2025-04-04,0.0,0.0,0.0,0.0,UPI
BILL0000213,SUB000028,CUST00028,2025-05-04,0.0,0.0,0.0,0.0,Google Pay
BILL0000214,SUB000028,CUST00028,2025-06-04,0.0,0.0,0.0,0.0,Debit Card
BILL0000215,SUB000028,CUST00028,2025-07-04,0.0,0.0,0.0,0.0,Google Pay
BILL0000216,SUB000028,CUST00028,2025-08-04,0.0,0.0,0.0,0.0,UPI
BILL0000217,SUB000028,CUST00028,2025-09-04,0.0,0.0,0.0,0.0,Stripe
BILL0000218,SUB000028,CUST00028,2025-10-04,0.0,0.0,0.0,0.0,Net Banking
BILL0000219,SUB000028,CUST00028,2025-11-04,0.0,0.0,0.0,0.0,UPI
BILL0000220,SUB000029,CUST00029,2024-12-29,12.99,0.0,0.95,13.94,Google Pay
BILL0000221,SUB000029,CUST00029,2025-01-29,12.99,0.0,1.48,14.47,Stripe
BILL0000222,SUB000029,CUST00029,2025-02-28,12.99,0.0,1.06,14.05,Google Pay
BILL0000223,SUB000029,CUST00029,2025-03-29,12.99,0.0,1.26,14.25,Stripe
BILL0000224,SUB000029,CUST00029,2025-04-29,12.99,0.0,1.07,14.06,Google Pay
BILL0000225,SUB000029,CUST00029,2025-05-29,12.99,0.0,0.65,13.64,Stripe
BILL0000226,SUB000029,CUST00029,2025-06-29,12.99,0.0,1.42,14.41,PayPal
BILL0000227,SUB000029,CUST00029,2025-07-29,12.99,0.0,1.23,14.22,Apple Pay
BILL0000228,SUB000029,CUST00029,2025-08-29,12.99,0.0,0.89,13.88,UPI
BILL0000229,SUB000029,CUST00029,2025-09-29,12.99,0.0,0.89,13.88,Google Pay
BILL0000230,SUB000029,CUST00029,2025-10-29,12.99,0.0,0.8,13.79,Credit Card
BILL0000231,SUB000030,CUST00030,2025-08-28,7.99,0.0,0.46,8.45,Google Pay
BILL0000232,SUB000030,CUST00030,2025-09-28,7.99,0.0,0.89,8.88,UPI
BILL0000233,SUB000030,CUST00030,2025-10-28,7.99,0.0,0.43,8.42,PayPal
BILL0000234,SUB000031,CUST00031,2025-05-31,0.0,0.0,0.0,0.0,Google Pay
BILL0000235,SUB000031,CUST00031,2025-06-30,0.0,0.0,0.0,0.0,Apple Pay
BILL0000236,SUB000031,CUST00031,2025-07-31,0.0,0.0,0.0,0.0,Stripe
BILL0000237,SUB000031,CUST00031,2025-08-31,0.0,0.0,0.0,0.0,Net Banking
BILL0000238,SUB000032,CUST00032,2023-06-19,19.99,0.0,1.88,21.87,Debit Card
BILL0000239,SUB000032,CUST00032,2023-07-19,19.99,0.0,1.74,21.73,Credit Card
BILL0000240,SUB000032,CUST00032,2023-08-19,19.99,0.0,1.57,21.56,Debit Card
BILL0000241,SUB000032,CUST00032,2023-09-19,19.99,0.0,1.44,21.43,Stripe
BILL0000242,SUB000032,CUST00032,2023-10-19,19.99,2.0,1.88,19.87,Net Banking
BILL0000243,SUB000032,CUST00032,2023-11-19,19.99,0.0,2.17,22.16,Apple Pay
BILL0000244,SUB000032,CUST00032,2023-12-19,19.99,0.0,1.57,21.56,Net Banking
BILL0000245,SUB000032,CUST00032,2024-01-19,19.99,0.0,1.69,21.68,Credit Card
BILL0000246,SUB000032,CUST00032,2024-02-19,19.99,0.0,1.18,21.17,Net Banking
BILL0000247,SUB000032,CUST00032,2024-03-19,19.99,0.0,1.0,20.99,Credit Card
BILL0000248,SUB000032,CUST00032,2024-04-19,19.99,0.0,2.04,22.03,Debit Card
BILL0000249,SUB000032,CUST00032,2024-05-19,19.99,0.0,1.69,21.68,Credit Card
BILL0000250,SUB000032,CUST00032,2024-06-19,19.99,0.0,1.18,21.17,Debit Card
BILL0000251,SUB000032,CUST00032,2024-07-19,19.99,0.0,1.49,21.48,UPI
BILL0000252,SUB000032,CUST00032,2024-08-19,19.99,0.0,2.07,22.06,Stripe
BILL0000253,SUB000032,CUST00032,2024-09-19,19.99,0.0,1.03,21.02,PayPal
BILL0000254,SUB000032,CUST00032,2024-10-19,19.99,0.0,1.98,21.97,Stripe
BILL0000255,SUB000032,CUST00032,2024-11-19,19.99,0.0,1.6,21.59,Debit Card
BILL0000256,SUB000032,CUST00032,2024-12-19,19.99,0.0,1.3,21.29,Net Banking
BILL0000257,SUB000032,CUST00032,2025-01-19,19.99,2.0,1.88,19.87,Apple Pay
BILL0000258,SUB000032,CUST00032,2025-02-19,19.99,0.0,2.04,22.03,Stripe
BILL0000259,SUB000032,CUST00032,2025-03-19,19.99,0.0,1.06,21.05,Debit Card
BILL0000260,SUB000032,CUST00032,2025-04-19,19.99,2.0,2.25,20.24,PayPal
BILL0000261,SUB000032,CUST00032,2025-05-19,19.99,0.0,1.77,21.76,Apple Pay
BILL0000262,SUB000032,CUST00032,2025-06-19,19.99,0.0,2.12,22.11,Net Banking
BILL0000263,SUB000032,CUST00032,2025-07-19,19.99,0.0,1.15,21.14,Apple Pay
BILL0000264,SUB000032,CUST00032,2025-08-19,19.99,0.0,2.17,22.16,Credit Card
BILL0000265,SUB000032,CUST00032,2025-09-19,19.99,0.0,1.12,21.11,PayPal
BILL0000266,SUB000032,CUST00032,2025-10-19,19.99,0.0,1.35,21.34,Debit Card
BILL0000267,SUB000033,CUST00033,2025-10-23,12.99,0.0,1.04,14.03,Stripe
BILL0000268,SUB000034,CUST00034,2025-11-08,0.0,0.0,0.0,0.0,Credit Card
BILL0000269,SUB000035,CUST00035,2025-06-13,7.99,0.0,0.51,8.5,Debit Card
BILL0000270,SUB000035,CUST00035,2025-07-13,7.99,0.0,0.94,8.93,Stripe
BILL0000271,SUB000035,CUST00035,2025-08-13,7.99,0.0,0.63,8.62,PayPal
BILL0000272,SUB000035,CUST00035,2025-09-13,7.99,0.0,0.58,8.57,Stripe
BILL0000273,SUB000035,CUST00035,2025-10-13,7.99,0.0,0.66,8.65,PayPal
BILL0000274,SUB000035,CUST00035,2025-11-13,7.99,0.0,0.78,8.77,Google Pay
BILL0000275,SUB000036,CUST00036,2023-10-21,7.99,0.0,0.66,8.65,Credit Card
BILL0000276,SUB000036,CUST00036,2023-11-21,7.99,0.0,0.8,8.79,Debit Card
BILL0000277,SUB000036,CUST00036,2023-12-21,7.99,1.2,0.9,7.69,Google Pay
BILL0000278,SUB000036,CUST00036,2024-01-21,7.99,0.0,0.42,8.41,Credit Card
BILL0000279,SUB000036,CUST00036,2024-02-21,7.99,0.0,0.93,8.92,Debit Card
BILL0000280,SUB000036,CUST00036,2024-03-21,7.99,0.0,0.45,8.44,Debit Card
BILL0000281,SUB000036,CUST00036,2024-04-21,7.99,0.0,0.65,8.64,Net Banking
BILL0000282,SUB000036,CUST00036,2024-05-21,7.99,0.0,0.94,8.93,Stripe
BILL0000283,SUB000036,CUST00036,2024-06-21,7.99,0.0,0.5,8.49,Net Banking
BILL0000284,SUB000036,CUST00036,2024-07-21,7.99,0.0,0.91,8.9,Credit Card
BILL0000285,SUB000036,CUST00036,2024-08-21,7.99,0.0,0.61,8.6,UPI
BILL0000286,SUB000036,CUST00036,2024-09-21,7.99,0.0,0.79,8.78,Debit Card
BILL0000287,SUB000036,CUST00036,2024-10-21,7.99,0.0,0.63,8.62,Apple Pay
BILL0000288,SUB000036,CUST00036,2024-11-21,7.99,0.0,0.9,8.89,UPI
BILL0000289,SUB000036,CUST00036,2024-12-21,7.99,0.0,0.88,8.87,Net Banking
BILL0000290,SUB000036,CUST00036,2025-01-21,7.99,1.2,0.5,7.29,UPI
BILL0000291,SUB000036,CUST00036,2025-02-21,7.99,0.0,0.69,8.68,Stripe
BILL0000292,SUB000036,CUST00036,2025-03-21,7.99,0.0,0.78,8.77,Debit Card
